Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date
Mi Amor,"Sharn, The Paul",Mi Amor,0azGrKHPYvl2MEKwQFfbV2,24MMjyA3NLqCsDJfsn51eg,69,2022-09-30
Players,"Badshah, Karan Aujla, Devika Badyal",Players,2ap6wepv8WNqHCxJiclPIL,5TjVLCESR9XIp5vDAWYfmi,59,2022-12-21
WOH,"Ikka, Dino James, Badshah",WOH,0hYH2JNegSbU72fmNnQ3LW,1QUU43rTDMnGl4xyaIfsYN,59,2022-11-29
Baller,"Shubh, Ikky",Baller,44aCFqUbG06fL58kqpMp8p,42TMa2hgBNjte4uV7jNCnQ,70,2022-09-09
Daku,"Chani Nattan, Inderpal Moga",Daku,3RaIXDlIRvziryGLXm8lBR,3wz2vWhYnnBoFmgMkqtzLy,70,2021-01-16
Elevated,Shubh,Elevated,1XNS0VIWnEKteOv1fa0okk,2AilvPt1AQ8PixlCKqkjfj,72,2021-10-22
Levels,"Sidhu Moose Wala, Sunny Malton, The Kidd",Levels,3UhoziCnYqcgxFpzYSx233,60YICjIPdL7LDBcCMK0tAk,66,2022-05-25
Afterhours,"Bir, Dhanju, thiarajxtt",Afterhours,2cRCEqgWX1mCw9gFPZf4kf,4xIGWteeVsy3hM9fJZMwji,0,2022-07-05
No Love,Shubh,No Love,5Zcgog7sQ79ISF32y9nABU,08Isz2ETWSBhvIl8UpKYsp,74,2022-02-22
Fuck Em All,"Sidhu Moose Wala, Sunny Malton",Fuck Em All,6PTLko2QL2jLSvSVqrwIrd,0Z2SFlnXH9yMN36djUeqyE,56,2022-03-23
angels,"HRJXT, Intense",Twenty Two,34nk7eSVjDXZOvLQy8M8n5,1tzMa1ma7O05lIgr4XKia8,59,2022-02-22
We Rollin,Shubh,We Rollin,09vnsHZoXH0OQWNAaOkVcf,6ZYxNjuAU9Vy3VtF6W1dtE,71,2021-09-09
Offshore,Shubh,Offshore,4yq8vQgi0nZYOrMadPLtdY,4Mh04VNolWA9g97ychP72l,61,2021-11-22
Sitara,"DIVINE, Jonita Gandhi",Gunehgar,6KO9jY3EEIpWFOfDXSOifs,3j796EeLMLBqwlzwufeS7c,55,2022-11-10
Bhaag Milkha Bhaag - Rock Version,"Shankar-Ehsaan-Loy, Siddharth Mahadevan",Bhaag Milkha Bhaag (Original Motion Picture Soundtrack),3m5FIubiCHr9mH3BU7ngY4,0KtHnXQjYkHNDsjTX3XqLc,61,2013-06-14
Daru Badnaam,"Param Singh, Kamal Kahlon, Pratik Studio",Daru Badnaam,5KLNI7nhEUDcxF0sGM0f0w,2TzyJEUfWHGRsk3r6Emvbk,32,2016-12-24
3 Peg,"Sharry Mann, Raviraj",3 Peg,2onCNtkuhjk538U3dPusIy,3G8o2zm7LaF6eeVuvLlrkJ,68,2016-12-16
Yeh Baby,Garry Sandhu,Yeh Baby,2tNLI0zZIICrQRlC4c3CVn,4bAimZUcP0JK806hdCuAjt,63,2018-04-03
Naah,"Harrdy Sandhu, Jaani",Naah,69E3qRzBF9CVToWXmXH4po,0zRsGGueSQLRkYWs4kPA4V,63,2017-11-30
Kya Baat Ay,"Harrdy Sandhu, Jaani",Kya Baat Ay,6dGrLyjo05QYx1djXmioIk,1ZaeaGLhFSckG8sv1y7AWk,70,2018-09-24
